epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,82.9071,0.97789,1.9022,1.33171,1.23844,0.5554,0.07407,0.06053,0.02481,0.5554,0.07407,0.052,0.01071,2.67306,6.75872,3.55736,3.25299,0.000406,0.000406,0.000406
92,83.7523,0.95122,1.98043,1.47139,1.25941,0.87796,0.07407,0.07461,0.03369,0.50588,0.07407,0.07782,0.01342,2.72442,6.9186,3.46586,3.2363,0.0003994,0.0003994,0.0003994
93,84.6166,1.0192,1.77428,1.25927,1.27279,0.87796,0.07407,0.07461,0.03369,0.50588,0.07407,0.07782,0.01342,2.72442,6.9186,3.46586,3.2363,0.0003928,0.0003928,0.0003928
94,85.6528,1.06061,2.20681,1.46513,1.26992,0.87881,0.07407,0.06778,0.026,0.38647,0.03704,0.03608,0.00968,2.59251,6.9449,3.498,3.10755,0.0003862,0.0003862,0.0003862
95,86.5124,0.84955,1.4778,1.38322,1.24802,0.87881,0.07407,0.06778,0.026,0.38647,0.03704,0.03608,0.00968,2.59251,6.9449,3.498,3.10755,0.0003796,0.0003796,0.0003796
96,87.403,1.03155,2.23742,1.50555,1.33282,0.87757,0.07407,0.0815,0.02458,0.77083,0.03704,0.03664,0.01057,2.6295,6.9906,3.50936,3.12186,0.000373,0.000373,0.000373
97,88.4624,0.98891,1.66226,1.3918,1.25979,0.87757,0.07407,0.0815,0.02458,0.77083,0.03704,0.03664,0.01057,2.6295,6.9906,3.50936,3.12186,0.0003664,0.0003664,0.0003664
98,89.2963,0.9679,1.78203,1.41978,1.24717,0.86901,0.07407,0.06155,0.02148,0.76664,0.03704,0.02267,0.00933,2.72127,6.92844,3.54643,3.19031,0.0003598,0.0003598,0.0003598
99,90.2103,0.99654,1.88966,1.53831,1.28089,0.86901,0.07407,0.06155,0.02148,0.76664,0.03704,0.02267,0.00933,2.72127,6.92844,3.54643,3.19031,0.0003532,0.0003532,0.0003532
100,91.0781,1.25912,1.80298,1.90022,1.42163,0.52733,0.07407,0.06996,0.02192,0.46646,0.03704,0.02724,0.01059,2.71728,6.84678,3.59471,3.17644,0.0003466,0.0003466,0.0003466
101,91.9321,0.84886,1.74594,1.27267,1.23863,0.52733,0.07407,0.06996,0.02192,0.46646,0.03704,0.02724,0.01059,2.71728,6.84678,3.59471,3.17644,0.00034,0.00034,0.00034
102,92.817,0.86761,1.77533,1.3441,1.12195,0.45442,0.04369,0.05965,0.01823,0.43711,0.03704,0.03274,0.00744,2.71726,6.91613,3.60502,3.24431,0.0003334,0.0003334,0.0003334
103,93.6526,0.97878,1.77265,1.39397,1.22677,0.45442,0.04369,0.05965,0.01823,0.43711,0.03704,0.03274,0.00744,2.71726,6.91613,3.60502,3.24431,0.0003268,0.0003268,0.0003268
104,94.6938,1.01049,1.78982,1.5241,1.30188,0.49618,0.07407,0.08022,0.02744,0.81733,0.03704,0.04091,0.01216,2.75889,6.80138,3.5654,3.31798,0.0003202,0.0003202,0.0003202
105,95.5424,0.87475,1.94223,1.22074,1.21452,0.49618,0.07407,0.08022,0.02744,0.81733,0.03704,0.04091,0.01216,2.75889,6.80138,3.5654,3.31798,0.0003136,0.0003136,0.0003136
106,96.4767,0.73254,1.77811,1.32302,1.19563,0.12992,0.07407,0.08037,0.02797,0.95015,0.03704,0.04266,0.01225,2.75495,6.82529,3.51225,3.34341,0.000307,0.000307,0.000307
107,97.3247,1.10547,1.98696,1.5018,1.30199,0.12992,0.07407,0.08037,0.02797,0.95015,0.03704,0.04266,0.01225,2.75495,6.82529,3.51225,3.34341,0.0003004,0.0003004,0.0003004
108,98.2066,1.05616,1.83748,1.42103,1.30096,0.52294,0.11111,0.12045,0.03353,0.96452,0.03704,0.04174,0.00827,2.81184,6.82541,3.3536,3.44448,0.0002938,0.0002938,0.0002938
109,99.225,1.00278,2.07245,1.36889,1.28507,0.52294,0.11111,0.12045,0.03353,0.96452,0.03704,0.04174,0.00827,2.81184,6.82541,3.3536,3.44448,0.0002872,0.0002872,0.0002872
110,100.086,0.91852,2.02378,1.39292,1.22004,0.86565,0.11111,0.13061,0.03301,0.97013,0.03704,0.04158,0.00854,2.78591,6.84739,3.3735,3.47675,0.0002806,0.0002806,0.0002806
111,100.974,1.0419,2.08572,1.45708,1.30647,0.86565,0.11111,0.13061,0.03301,0.97013,0.03704,0.04158,0.00854,2.78591,6.84739,3.3735,3.47675,0.000274,0.000274,0.000274
112,101.797,0.78321,1.78334,1.3534,1.19682,0.95952,0.11111,0.12206,0.02824,0.96651,0.03704,0.04152,0.00842,2.763,6.90264,3.33117,3.3793,0.0002674,0.0002674,0.0002674
113,102.659,1.01414,1.88309,1.43431,1.29634,0.95952,0.11111,0.12206,0.02824,0.96651,0.03704,0.04152,0.00842,2.763,6.90264,3.33117,3.3793,0.0002608,0.0002608,0.0002608
114,103.548,0.83663,1.57534,1.43936,1.27589,0.91609,0.11111,0.12148,0.03971,0.83047,0.03704,0.04217,0.00886,2.78483,6.91366,3.29994,3.42303,0.0002542,0.0002542,0.0002542
115,104.501,0.91449,1.66192,1.31617,1.1832,0.91609,0.11111,0.12148,0.03971,0.83047,0.03704,0.04217,0.00886,2.78483,6.91366,3.29994,3.42303,0.0002476,0.0002476,0.0002476
116,105.394,1.00926,1.97375,1.50795,1.29976,0.89704,0.11111,0.09839,0.03564,0.73912,0.03704,0.01529,0.00397,2.83418,6.87482,3.29938,3.43673,0.000241,0.000241,0.000241
117,106.234,1.0116,1.98461,1.40763,1.21583,0.89704,0.11111,0.09839,0.03564,0.73912,0.03704,0.01529,0.00397,2.83418,6.87482,3.29938,3.43673,0.0002344,0.0002344,0.0002344
118,107.112,0.95542,1.79105,1.54559,1.30766,0.86318,0.11111,0.07598,0.02248,0.37657,0.03704,0.0152,0.00273,2.94483,6.80187,3.34514,3.42789,0.0002278,0.0002278,0.0002278
119,107.937,1.04977,2.07679,1.49653,1.33368,0.86318,0.11111,0.07598,0.02248,0.37657,0.03704,0.0152,0.00273,2.94483,6.80187,3.34514,3.42789,0.0002212,0.0002212,0.0002212
120,109.02,1.05589,1.82227,1.41057,1.29653,0.87825,0.07407,0.08497,0.0318,0.02915,0.03704,0.01364,0.00201,2.95756,6.82528,3.28727,3.48906,0.0002146,0.0002146,0.0002146
121,109.839,1.00886,2.17876,1.4505,1.20854,0.87825,0.07407,0.08497,0.0318,0.02915,0.03704,0.01364,0.00201,2.95756,6.82528,3.28727,3.48906,0.000208,0.000208,0.000208
122,110.697,0.92161,1.72894,1.4515,1.3063,0.91064,0.03704,0.05397,0.02878,0.00394,0.25185,0.01487,0.00195,2.91798,6.78814,3.30674,3.47602,0.0002014,0.0002014,0.0002014
123,111.522,0.76857,1.46082,1.17615,1.18512,0.91064,0.03704,0.05397,0.02878,0.00394,0.25185,0.01487,0.00195,2.91798,6.78814,3.30674,3.47602,0.0001948,0.0001948,0.0001948
124,112.441,1.00883,1.65586,1.54211,1.26121,0.90931,0.03704,0.05715,0.02939,0.00404,0.25185,0.01566,0.00192,2.94441,6.77743,3.36414,3.51619,0.0001882,0.0001882,0.0001882
125,113.26,0.83246,1.47974,1.5261,1.327,0.90931,0.03704,0.05715,0.02939,0.00404,0.25185,0.01566,0.00192,2.94441,6.77743,3.36414,3.51619,0.0001816,0.0001816,0.0001816
126,114.13,0.8745,1.64301,1.20121,1.26141,0.91319,0.03704,0.0626,0.0328,0.0066,0.07407,0.01567,0.00255,2.98428,6.86567,3.39839,3.53112,0.000175,0.000175,0.000175
